Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Turkiye;TUR;4,59623E+11;4,79623E+11;5,20003E+11;5,75128E+11;5,5543E+11;6,07832E+11;6,6137E+11;7,22169E+11;5,5826E+11;5,46531E+11;6,09012E+11;5,95895E+11;6,12447E+11;6,41097E+11;7,35786E+11;8,15103E+11;9,45292E+11;1,043E+12;1,13955E+12;1,11244E+12;1,26855E+12;1,45411E+12;1,55069E+12;1,70367E+12;1,86047E+12;2,02294E+12;2,1164E+12;2,26427E+12;2,30377E+12;2,35031E+12;2,39149E+12;2,63703E+12;3,32281E+12;3,61152E+12;3,75701E+12
Italy;ITA;1,05883E+12;1,11148E+12;1,14629E+12;1,16345E+12;1,21386E+12;1,27509E+12;1,31303E+12;1,36145E+12;1,42686E+12;1,46017E+12;1,54577E+12;1,60316E+12;1,64607E+12;1,67909E+12;1,71084E+12;1,75302E+12;1,89569E+12;2,0041E+12;2,0974E+12;2,05369E+12;2,09236E+12;2,18451E+12;2,1838E+12;2,19892E+12;2,2117E+12;2,25225E+12;2,43362E+12;2,52864E+12;2,60965E+12;2,78707E+12;2,6412E+12;2,94633E+12;3,31937E+12;3,41533E+12;3,58912E+12
Mexico;MEX;7,10445E+11;7,66539E+11;8,14845E+11;7,92463E+11;8,44951E+11;8,11682E+11;8,77941E+11;9,57372E+11;1,02803E+12;1,07124E+12;1,15435E+12;1,17504E+12;1,1944E+12;1,24256E+12;1,3214E+12;1,40309E+12;1,55965E+12;1,63508E+12;1,73073E+12;1,70157E+12;1,80763E+12;1,98989E+12;2,10329E+12;2,15033E+12;2,25444E+12;2,3095E+12;2,45781E+12;2,52831E+12;2,60627E+12;2,63653E+12;2,45408E+12;2,65286E+12;3,00694E+12;3,22463E+12;3,36157E+12
Spain;ESP;5,31182E+11;5,63126E+11;5,81311E+11;5,88952E+11;6,15864E+11;6,46116E+11;6,76729E+11;7,16995E+11;7,67528E+11;8,05241E+11;8,75357E+11;9,37714E+11;1,01001E+12;1,05724E+12;1,12298E+12;1,20612E+12;1,36545E+12;1,47156E+12;1,53257E+12;1,49296E+12;1,48153E+12;1,49649E+12;1,49065E+12;1,51993E+12;1,56856E+12;1,63583E+12;1,74742E+12;1,85471E+12;1,91877E+12;2,07523E+12;1,86254E+12;2,09947E+12;2,41167E+12;2,57356E+12;2,77841E+12
Canada;CAN;5,60185E+11;5,67048E+11;5,85191E+11;6,15003E+11;6,56367E+11;6,88184E+11;7,12131E+11;7,5539E+11;7,93674E+11;8,46413E+11;9,00997E+11;9,37787E+11;9,71004E+11;1,02368E+12;1,08361E+12;1,17133E+12;1,24159E+12;1,30159E+12;1,3424E+12;1,307E+12;1,36358E+12;1,43081E+12;1,4681E+12;1,55413E+12;1,6214E+12;1,5949E+12;1,67809E+12;1,76576E+12;1,85299E+12;1,8997E+12;1,84784E+12;2,17949E+12;2,47548E+12;2,5839E+12;2,70288E+12
Saudi Arabia;SAU;4,91751E+11;5,50174E+11;5,88487E+11;6,04724E+11;6,23522E+11;6,3858E+11;6,7176E+11;7,01435E+11;7,29206E+11;7,34841E+11;7,86943E+11;8,07435E+11;8,14338E+11;9,03232E+11;1,00758E+12;1,10094E+12;1,1725E+12;1,23092E+12;1,33291E+12;1,32682E+12;1,41062E+12;1,60902E+12;1,70186E+12;1,71829E+12;1,77154E+12;1,60802E+12;1,54576E+12;1,64553E+12;1,79299E+12;1,79061E+12;1,49933E+12;1,92989E+12;2,31559E+12;2,41193E+12;2,51491E+12
Egypt, Arab Rep.;EGY;2,08244E+11;2,1771E+11;2,32631E+11;2,45053E+11;2,60229E+11;2,7802E+11;2,97234E+11;3,18966E+11;3,40534E+11;3,66259E+11;3,98415E+11;4,21788E+11;4,38581E+11;4,61522E+11;4,93326E+11;5,31546E+11;5,85438E+11;6,43919E+11;7,03294E+11;7,40703E+11;7,88294E+11;8,18754E+11;9,63511E+11;1,00209E+12;1,0003E+12;1,08594E+12;1,08411E+12;1,15359E+12;1,30298E+12;1,43731E+12;1,66507E+12;1,7286E+12;1,97384E+12;2,12176E+12;2,2252E+12
Australia;AUS;2,96613E+11;3,08275E+11;3,19054E+11;3,38876E+11;3,5915E+11;3,78799E+11;4,03354E+11;4,26032E+11;4,5362E+11;4,79438E+11;5,05056E+11;5,32865E+11;5,65995E+11;5,94024E+11;6,33139E+11;6,66574E+11;7,12649E+11;7,63412E+11;7,97546E+11;8,74442E+11;8,67453E+11;9,38789E+11;9,74432E+11;1,06229E+12;1,1011E+12;1,10182E+12;1,14327E+12;1,18957E+12;1,25275E+12;1,33446E+12;1,38465E+12;1,49444E+12;1,71361E+12;1,87938E+12;1,9368E+12
Poland;POL;2,35562E+11;2,26443E+11;2,37429E+11;2,52143E+11;2,71157E+11;2,97548E+11;3,20861E+11;3,46495E+11;3,6808E+11;3,89722E+11;4,10091E+11;4,27479E+11;4,52696E+11;4,7108E+11;5,12209E+11;5,31857E+11;5,80057E+11;6,41716E+11;7,00461E+11;7,35949E+11;7,98642E+11;8,68166E+11;9,03168E+11;9,2947E+11;9,67769E+11;1,02546E+12;1,07682E+12;1,14571E+12;1,2283E+12;1,36229E+12;1,39143E+12;1,51845E+12;1,69665E+12;1,71541E+12;1,84156E+12
Thailand;THA;2,43614E+11;2,73407E+11;3,02242E+11;3,34938E+11;3,69446E+11;4,07821E+11;4,3876E+11;4,34036E+11;4,05407E+11;4,29943E+11;4,59271E+11;4,85787E+11;5,23671E+11;5,72401E+11;6,24762E+11;6,71334E+11;7,26416E+11;7,86648E+11;8,15641E+11;8,15004E+11;8,86887E+11;9,1279E+11;1,01492E+12;1,06276E+12;1,0789E+12;1,11392E+12;1,18132E+12;1,25052E+12;1,34731E+12;1,42783E+12;1,37292E+12;1,45196E+12;1,59561E+12;1,68638E+12;1,77079E+12
